query,Y
"Title: Start range in v-for=""n in 10"" from zeroQuery: <p>I want to start the range from 0 instead of 1 in <code>v-for=""n in 10""</code> which results in <code>1 2 3 .... 10</code>
Is there a way to do it in Vuejs?</p>
",HQ
"Title: splitting a full url into partsQuery: <p>I'm trying to split a url into parts so that I can work with these separately. </p>

<p>For e.g. the url:</p>

<p><code>'https://api.somedomain.co.uk/api/addresses?postcode=XXSDF&amp;houseNo=34'</code></p>

<p>How can I split this into:
1) the source/origin (i.e. protocol + subdomain + domain)
2) path '/api/addresses'
3) Query:  '?postcode=XXSDF&amp;houseNo=34'</p>
",LQ_CLOSE
"Title: Break loops in C# using while statementQuery: i am writing a c# program that prints 'true'if number <=20 and false if number > 20 using while loop but the program keeps on executing. 
i want to break the program if it reaches certain number e.g. number > 26
please help me to solve the issue.

The code for the program is:
public static void Main()
        {

            Console.WriteLine(""Please enter a number"");
            int numnber = Convert.ToInt32(Console.ReadLine());

            while (numnber <= 20)
            {
                Console.WriteLine(""True"");
                Console.ReadLine();
                int number1 = numnber++;

                while (numnber > 20)
                {
                    Console.WriteLine(""False"");
                    Console.ReadLine();
                }
                
            }",LQ_EDIT
"Title: Is &arr[size] valid?Query: <p>Let's say I have a function, called like this:</p>

<pre><code>void mysort(int *arr, std::size_t size)
{
  std::sort(&amp;arr[0], &amp;arr[size]);
}

int main()
{
  int a[] = { 42, 314 };
  mysort(a, 2);
}
</code></pre>

<p>My question is: does the code of <code>mysort</code> (more specifically, <code>&amp;arr[size]</code>) have defined behaviour?</p>

<p>I know it would be perfectly valid if replaced by <code>arr + size</code>; pointer arithmetic allows pointing past-the-end normally. However, my question is specifically about the use of <code>&amp;</code> and <code>[]</code>.</p>

<p>Per C++11 5.2.1/1, <code>arr[size]</code> is equivalent to <code>*(arr + size)</code>.</p>

<p>Quoting 5.3.1/1, the rules for unary <code>*</code>:</p>

<blockquote>
  <p>The unary <code>*</code> operator performs indirection: the expression to which it is applied shall be a <strong>pointer to an
  object type</strong>, or a pointer to a function type and the <strong>result is an lvalue referring to the object</strong> or function
  <strong>to which the expression points</strong>. If the type of the expression is “pointer to <code>T</code>,” the type of the result is “<code>T</code>.”
  [ <em>Note:</em> a pointer to an incomplete type (other than <em>cv</em> <code>void</code>) can be dereferenced. The lvalue thus obtained
  can be used in limited ways (to initialize a reference, for example); this lvalue must not be converted to a
  prvalue, see 4.1. <em>—end note</em> ]</p>
</blockquote>

<p>Finally, 5.3.1/3 giving the rules for <code>&amp;</code>:</p>

<blockquote>
  <p>The result of the unary <code>&amp;</code> operator is a pointer to its operand. The operand shall be an lvalue ... if the type of
  the expression is <code>T</code>, the result has type “pointer to <code>T</code>” and is a prvalue that is the <strong>address of the designated object</strong> (1.7) or a pointer to the designated function.</p>
</blockquote>

<p>(Emphasis and ellipses mine).</p>

<p>I can't quite make up my mind about this. I know for sure that forcing an lvalue-to-rvalue conversion on <code>arr[size]</code> would be Undefined. But no such conversion happens in the code. <code>arr + size</code> does not point to an object; but while the paragraphs above talk about objects, they never seem to explicitly call out the necessity for an object to actually exist at that location (unlike e.g. the lvalue-to-rvalue conversion in 4.1/1).</p>

<p>So, the questio is: is <code>mysort</code>, the way it's called, valid or not?</p>

<p>(Note that I'm quoting C++11 above, but if this is handled more explicitly in a later standard/draft, I would be perfectly happy with that).</p>
",HQ
"Title: C# Use 'this' Keyword in a classQuery: <p>i have a code for creating a LineShape from two points .</p>

<pre><code>class MyMenu
{
    public static void AddLine()
    {

        ShapeContainer canvas = new ShapeContainer();
        LineShape theLine = new LineShape();

        canvas.Parent = this;

        theLine.Parent = canvas;
        theLine.BorderColor = SystemColors.ControlDarkDark;

        theLine.StartPoint = new System.Drawing.Point(-3, 154);
        theLine.EndPoint = new System.Drawing.Point(212, 154);

    }
}
</code></pre>

<p>. i want to create a class and use from there but i end up having an error .</p>

<pre><code>Keyword 'this' is not valid in a static property, static method, or static field initializer    
</code></pre>

<p>i tried to fix it like this but nothing !</p>

<pre><code> Form1 MyForm = new Form1();
        canvas.Parent = MyForm;
</code></pre>

<p>Thanks you !</p>
",LQ_CLOSE
"Title: Hibernate 5.2.2: No Persistence provider for EntityManagerQuery: <p>What has changed between Hibernate 5.1.1 and 5.2.2? If I use 5.2.2 I'll get an error message ""No Persistence provider for EntityManager named pu"". Exactly the same configuration works with 5.1.1. How should I change my code to get 5.2.2 to work?</p>

<p>pom.xml</p>

<pre><code>&lt;?xml version=""1.0"" encoding=""UTF-8""?&gt;
&lt;project xmlns=""http://maven.apache.org/POM/4.0.0"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""
    xsi:schemaLocation=""http://maven.apache.org/POM/4.0.0 http://maven.apache.org/xsd/maven-4.0.0.xsd""&gt;
    &lt;modelVersion&gt;4.0.0&lt;/modelVersion&gt;
    &lt;groupId&gt;jpatest&lt;/groupId&gt;
    &lt;artifactId&gt;jpatest&lt;/artifactId&gt;
    &lt;version&gt;0.0.1-SNAPSHOT&lt;/version&gt;

    &lt;properties&gt;
        &lt;hibernate.version&gt;5.2.2.Final&lt;/hibernate.version&gt;
    &lt;/properties&gt;
    &lt;dependencies&gt;
        &lt;!-- https://mvnrepository.com/artifact/junit/junit --&gt;
        &lt;dependency&gt;
            &lt;groupId&gt;junit&lt;/groupId&gt;
            &lt;artifactId&gt;junit&lt;/artifactId&gt;
            &lt;version&gt;4.12&lt;/version&gt;
        &lt;/dependency&gt;
        &lt;!-- https://mvnrepository.com/artifact/org.postgresql/postgresql --&gt;
        &lt;dependency&gt;
            &lt;groupId&gt;org.postgresql&lt;/groupId&gt;
            &lt;artifactId&gt;postgresql&lt;/artifactId&gt;
            &lt;version&gt;9.4.1209.jre7&lt;/version&gt;
        &lt;/dependency&gt;
        &lt;!-- https://mvnrepository.com/artifact/org.hibernate/hibernate-core --&gt;
        &lt;dependency&gt;
            &lt;groupId&gt;org.hibernate&lt;/groupId&gt;
            &lt;artifactId&gt;hibernate-core&lt;/artifactId&gt;
            &lt;version&gt;${hibernate.version}&lt;/version&gt;
        &lt;/dependency&gt;
        &lt;dependency&gt;
            &lt;groupId&gt;org.hibernate&lt;/groupId&gt;
            &lt;artifactId&gt;hibernate-entitymanager&lt;/artifactId&gt;
            &lt;version&gt;${hibernate.version}&lt;/version&gt;
        &lt;/dependency&gt;
    &lt;/dependencies&gt;
&lt;/project&gt;
</code></pre>

<p>persistence.xml in src/main/resources/META-INF</p>

<pre><code>&lt;?xml version=""1.0"" encoding=""UTF-8"" ?&gt;
&lt;persistence xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""
    xsi:schemaLocation=""http://java.sun.com/xml/ns/persistence http://java.sun.com/xml/ns/persistence/persistence_2_0.xsd""
    version=""2.0"" xmlns=""http://java.sun.com/xml/ns/persistence""&gt;
    &lt;persistence-unit name=""pu"" &gt;
        &lt;provider&gt;org.hibernate.ejb.HibernatePersistence&lt;/provider&gt;
        &lt;properties&gt;
            &lt;property name=""hibernate.archive.autodetection"" value=""class"" /&gt;
            &lt;property name=""hibernate.dialect"" value=""org.hibernate.dialect.PostgreSQLDialect"" /&gt;
            &lt;property name=""hibernate.connection.driver_class"" value=""org.postgresql.Driver"" /&gt;
            &lt;property name=""hibernate.connection.url"" value=""jdbc:postgresql://localhost:5432/mydb"" /&gt;
            &lt;property name=""hibernate.default_schema"" value=""myschema"" /&gt;
            &lt;property name=""hibernate.connection.username"" value=""xxx"" /&gt;
            &lt;property name=""hibernate.connection.password"" value=""zzz"" /&gt;
            &lt;!-- &lt;property name=""hibernate.show_sql"" value=""true""/&gt; --&gt;
            &lt;property name=""hibernate.flushMode"" value=""FLUSH_AUTO"" /&gt;
            &lt;property name=""hibernate.hbm2ddl.auto"" value=""validate"" /&gt;
        &lt;/properties&gt;
    &lt;/persistence-unit&gt;
&lt;/persistence&gt;
</code></pre>

<p>creating EntityManager       </p>

<pre><code>factory = Persistence.createEntityManagerFactory(""pu"");
em = factory.createEntityManager();
tx = em.getTransaction();
</code></pre>
",HQ
"Title: Failed to chmod user/Library/Developer/CoreSimulator/Devices NO Such File Or directoryQuery: <p>When i try to run my app in iPhone 6 simulator, i am getting following error. I am using Xcode 8.1 can any one please help me to understand this issue</p>

<p><a href=""https://i.stack.imgur.com/55RUF.png""><img src=""https://i.stack.imgur.com/55RUF.png"" alt=""enter image description here""></a></p>
",HQ
"Title: PHP (Laravel) loop - every n-th entryQuery: <p>Haven't found what I was looking for specifically. I only find questions where people break the loop, in my case I do not want to break it. I simply want to insert something special every n-th time.</p>

<p>I have a database with projects, and I want to display them in a grid. I simply loop every row from the database to display it in the grid. But now the client wants to show a customer's quote though out the grid. Mor specifically like this: show 3 projects, place 1 quote, repeat...</p>

<p><a href=""https://i.stack.imgur.com/ct4ak.jpg"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/ct4ak.jpg"" alt=""enter image description here""></a></p>

<p>Obviously the 4th item in the loop is very different from the other ones, so I cannot store them in the samen database table. The 'projects' have image and title (among many other things), the quote simply has a name and body. </p>

<p>How would you guys make this as dynamic as possible? Since the client has a CMS where he can add new projects. </p>
",LQ_CLOSE
"Title: Azure CLI in Git BashQuery: <p>I am trying to use a bash (sh) script on windows to run a test deployment. I am running the script from the gitbash console so that I have a copy of bash, but doing so means that the azure clie is not available (i.e. azure command is not found). Does anyone know how I can get the Azure cli working in GitBash (I am assuming I just install it somewhere else) or should I change to a different way of using bash  </p>
",HQ
"Title: Interact with object values in JavaScriptQuery: <pre><code>a = [{name: James, Location: London},
{name: Martin, Location: Seattle},...
{name: George, Location: New York}];
</code></pre>

<p>How can I find the count of number of items present?
How can I replace George with Suarez?
How can I display only <em>""Martin from Seattle""</em> on the screen?
How can I add a new object in between first and second?</p>
",LQ_CLOSE
