query,Y
"Title: update two tables with same values but different IDsQuery: I'm trying to update two tables with one query with same value but different IDs. I have been looking for solution but all I have found doesnt work for me
here is the code:

    $Image = $_SESSION[""ImageName""];
    $ImageID = $_POST['ImageID'];
    $GalleryID = $_POST['GalleryID'];
    
    $updateSQL = ""UPDATE slideimage, gallery
                  SET slideimage.ImageName='"".$Image.""', gallery.GalleryPoster='"".$Image.""'
                  WHERE slideimage.ImageID='"".$ImageID.""'
                  AND gallery.GalleryID='"".$GalleryID.""'
                  "";

Thank you all for any help",LQ_EDIT
"Title: index out of range error in javaQuery: <p>I am trying to find the max value of a 2D array in java.</p>

<pre><code> import java.util.*;

 public class ikiBoyutlu {

 public static void ikiBoyut(int[][]a){
    int eb= a[0][0];

    for(int i=0;i&lt;a.length;i++){
        for(int j=0; j&lt;(a[0].length);j++){
            if(a[i][j]&gt;eb){
                eb=a[i][j];
            }

        }

    }
    System.out.println(""The max value of array= ""+ eb);
}

public static void main(String[] args){

    int a[][] ={{2,5,7,0,-6,28,43},{-96,45,3,21}};
    ikiBoyut(a);

}

}
</code></pre>

<p>But I get index out of range error. I wonder why?</p>

<p>Thanks!</p>
",LQ_CLOSE
"Title: Disable pylint warning E1101 when using enumsQuery: <p>I recently came across <a href=""http://anthonyfox.io/2017/02/choices-for-choices-in-django-charfields/#option-3"" rel=""noreferrer"">this article</a> by Anthony Fox which shows how to use enums to create the choice set in django CharFields, which I thought was pretty neat.</p>

<p>Basically, you create a subclass of Enum:</p>

<pre><code>from enum import Enum

class ChoiceEnum(Enum):
    @classmethod
    def choices(cls):
        return tuple((x.name, x.value) for x in cls)
</code></pre>

<p>Which can then be used in your models like so:</p>

<pre><code>from .utils import ChoiceEnum

class Car(models.Model):
    class Colors(ChoiceEnum):
        RED = 'red'
        WHITE = 'white'
        BLUE = 'blue'

    color = models.CharField(max_length=5, choices=Colors.choices(), default=Colors.RED.value)

red_cars = Car.objects.filter(color=Car.Colors.RED.value)
</code></pre>

<p>However, pylint throws a warning whenever you try to access the enum value (<code>Colors.RED.value</code>)</p>

<p><code>E1101:Instance of 'str' has no 'value' member</code></p>

<p>Is there a way to avoid / disable this warning for every instance of ChoiceEnum?</p>

<p><a href=""https://stackoverflow.com/questions/35990313/avoid-pylint-warning-e1101-instance-of-has-no-member-for-class-with-dyn"">This answer</a> only works on the subclass of <code>ChoiceEnum</code>, not <code>ChoiceEnum</code> itself.</p>
",HQ
"Title: train['Gender'].fillna(train['Gender'].mode()[0], inplace=True)Query: <pre><code>    train['Gender'].fillna(train['Gender'].mode()[0], inplace=True)
</code></pre>

<p>I got this code in one of my basic data science course. I wanted to understand, what is the significance of ""[0]"" after mode() in this. I would really appreciate the answer.
Thanks!</p>
",LQ_CLOSE
"Title: What does a cookie with 1969 as the expiration date mean?Query: <p><a href=""https://i.stack.imgur.com/l5b4I.png"" rel=""noreferrer""><img src=""https://i.stack.imgur.com/l5b4I.png"" alt=""enter image description here""></a></p>

<p>How can a cookie expire in 1969?</p>

<p>What does this mean?</p>

<p>Thanks,</p>
",HQ
"Title: PHP - No result when using prepared statementsQuery: So I want create a simple select with prepared statements but as result I just get NULL :( When I do it without prepared statements everything is working fine.

	<?php
	  class DbHandler{
	    public function select($columns, $table_name, $alias, $where, $order){
	      //echo(phpinfo());
	    	
	      $db = new mysqli(""localhost"", ""root"", """", ""superhelden"");
	      if(!$db){
	      	exit(""Verbindungsfehler: "".mysqli_connect_error());
	      }
	      
	      if(empty($columns)){
	        $columns = ""*"";
	        trigger_error(""No columns chosen. Value set to *."", E_USER_WARNING);
	      } else{
	      	$prepColumns = $columns;
	      }
	    	
	      if(empty($table_name)){
	      	trigger_error(""Tablename must not be empty."", E_USER_ERROR);
	      }
	      
	      if(empty($where)){
	      	trigger_error(""WHERE is empty so no conditions are set. All entries will be selected."", E_USER_WARNING);
	      }
	      
	      //I don't know why but I can't use a param for the tablename
	      $query = ""SELECT ? FROM $table_name"";
	      
	      if(!empty($alias)){
	      	$query .= "" AS ?"";
	      }
	      
	      if(!empty($where)){
	      	$query .= "" WHERE ?"";
	      }
	      
	      //This is working..
	      $query1 = ""SELECT name FROM karten WHERE name='Fausthieb'"";
	      $res = $db->query($query1);
	      while($row = $res->fetch_assoc()){
	      	echo($row[""name""] . ""<br>"");
	      }
	      //.... :(
	      
	      if(empty($order)){
	      	//Show created query
	      	echo(""$query  ||  "");
	      	if($prep = $db->prepare($query)){
	      	  if(!empty($alias)){
	      		if(!empty($where)){
	      		  $prep->bind_param(""sss"", $prepColumns, $alias, $where);
	      		} else{
	      		  $prep->bind_param(""ss"", $prepColumns, $alias);
	      	    }
	      	  } else if(!empty($where)){
	      	  	//Show params of function
	      	  	echo(""columns: $prepColumns  ||  "");
	      	  	echo(""Where: $where  ||  "");
	      		$prep->bind_param(""ss"", $prepColumns, $where);
	      	  } else {
	      		$prep->bind_param(""s"", $prepColumns);
	      	  }
	//       	  print_r($prep->result_metadata());
	//       	  echo(var_dump($prep));
	      	  $prep->execute();
	      	  var_dump($prep->error);
	      	  echo(""  ||  "");
	      	  $prep->bind_result($result);
	      	  $prep->fetch();
	      	  echo(gettype($result));
	      	  $prep->close();
	      	}else{
	      		var_dump($db->error);
	      	}
	      } else {
	      	$query .= "" ORDER BY ?"";
	      	if($prep = $db->prepare($query)){
	      	  if(!empty($alias)){
	      		if(!empty($where)){
	      		  $prep->bind_param(""ssss"", $prepColumns, $alias, $where, $order);
	      		} else{
	      		  $prep->bind_param(""sss"", $prepColumns, $alias, $order);
	      		}
	      	  } else if(!empty($where)){
	      		  $prep->bind_param(""sss"", $prepColumns, $where, $order);
	      	  } else {
	      		  $prep->bind_param(""ss"", $prepColumns, $order);
	      	  }
	      	  
	      	  $prep->execute();
	      	  $prep->bind_result($result);
	      	  $prep->fetch();
	      	  echo($result);
	      	  $prep->close();
	      	}else{
	      		var_dump($db->error);
	      	}
	      }
	    }
	  }
	?>

This code is calling my select function:
	<?php
	
	include(""DbHandler_dominic.php"");
	
	$test = new DbHandler();
	
	$test->select(""name"", ""karten"", """", ""name='Fausthieb'"", """");
	
	?>

And then I got this one which works just fine.

	<?php  
	  include(""dbconnect.php"");
	  $pepper = ""KratzigeStirn?!"";
	  
	  $username = $_POST[""username""];
	  $prep = $db->prepare(""SELECT name FROM spieler WHERE name=?"");
	  $prep->bind_param(""s"", $username);
	  $prep->execute();
	  $prep->bind_result($user);
	  $prep->fetch();
	  $prep->close();
	  
	  $email = $_POST[""email""];
	  
	  $prep = $db->prepare(""SELECT email FROM spieler WHERE email=?"");
	  $prep->bind_param(""s"", $email);
	  $prep->execute();
	  $prep->bind_result($mail);
	  $prep->fetch();
	  $prep->close();
	
	  if($user == """" && $mail == """"){
	  	$password = password_hash($_POST[""password""].$pepper, PASSWORD_BCRYPT);
	  	
	  	$prep = $db->prepare(""INSERT INTO spieler(name, passwort, email) VALUES(?, ?, ?)"");
	  	$prep->bind_param(""sss"", $username, $password, $email);
	  	
	  	$prep->execute();
	  	
	  	$prep->close();
	  } else if($user == $username){
	  	echo ""Benutzer existiert schon.."";
	  } else if($mail == $email){
	  	echo ""E-Mail bereits vergeben.."";
	  }
	  
	  $db->close();
	?>
What's the difference? And what can I do that the SELECT is working :/

My DB Diagram and Table properties:

[DB relationdiagram][1]

[Table properties][2]

If I forget any needed information just tell me and I'll add if possible :)
  [1]: https://i.stack.imgur.com/fM1AP.png
  [2]: https://i.stack.imgur.com/dcmCa.png",LQ_EDIT
"Title: Convert dd/mm/yyyy to yyyy-mm-dd in phpQuery: <p>I need to convert date format in php , But i am getting getting error</p>

<p>here is my code </p>

<pre><code> $test = new DateTime('23/09/2016');
   echo date_format($test, 'Y-m-d');
</code></pre>

<p>But i am getting error as </p>

<pre><code>Message: DateTime::__construct(): Failed to parse time string (23/09/2016) at position 0 (2): Unexpected character 
</code></pre>

<p>How to resolve the issue </p>
",LQ_CLOSE
"Title: How to create a custom Spinner in AndroidQuery: <p>I want to create custom spinner like below :</p>

<p><a href=""https://i.stack.imgur.com/0X9te.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/0X9te.png"" alt=""enter image description here""></a></p>

<p>Thanks</p>
",LQ_CLOSE
"Title: How can I execute code before all tests suite with CypressQuery: <p>Basically, I want to login once before all my tests are executed. My tests files are split on several files.</p>

<p>Should I call my login command in each test file using the before hook or is there any way to to do it once before all tests ?</p>
",HQ
"Title: MSSQL Query optimizeQuery: I have a query with very poor performance.
In the production base there are tens of millions rows of data.


    SELECT (SELECT MIN(CASE WHEN tab1.col1 = 0 THEN 0 ELSE 1 END) 
            FROM tab1 
		WHERE tab1.col2 = tab2.col2
          AND (tab2.col1 <> 1 OR (SELECT COUNT(*) FROM tab1 AS p1 WHERE tab1.col4 = p1.col4) = 0)
          AND (tab1.col3 = 1 OR tab2.col1 = 0 AND ISNULL((SELECT SUM(tab3.col1) FROM tab3 WHERE tab3.col1 = tab2.col2),0) < tab1.col5)
		) col_alias
    FROM tab2



I have already tried to resolve performance problem with indexes, JOINs and CTE. But since there is usage of aggregate functions and correlated subqueries, I have not dome anything which improve the performance.

Have anybody any ideas how I can do it?",LQ_EDIT
